長榮大學,長榮大學,22.905326,120.272928,長榮大學是一所基督教大學，以「基督」精神信、望、愛來辦學。學校地理位置上有台鐵沙崙支線設站，交通非常便利，也是全國唯一以大學命名的車站。1993年長榮大學創校進駐社區，學校位於二仁溪中游溪畔，校園內興建「國際珍古德根與芽生態教育中心」綠建築，屆時將成為大(潭)武(東)(沙)崙地區自然生態特色景點，成為行動學習的教育基地。,a1.jpg
昭德宮,昭德宮,22.9095931,120.2707424,大潭昭德宮原為清水宮福德祠，主祀清水祖師，據<歸仁鄉大潭村昭德宮文化錄>之記載，昔日大潭庄百年無廟，大潭清水祖師與中壇元帥原供奉於大潭庄內黃姓公廳，而福德正神則由大潭社內每年以擲爐主方式輪祀於民宅。日治時期，地方集資向庄役場買回今廟址之土地，因時代變遷，後被沒收改為大潭農事實行組合，直至民國64(1975)年省政府公告受理日產地可改為公共設施用地，經地方耆老與仕紳奔波努力下，並經信徒大會同意，於同年正式將土地登記在大潭福德祠名下，民國68年(1979)始興建原清水公福德祠，成為大潭庄廟。,a2.jpg
綠色大武崙社區推動辦公室,綠色大武崙社區推動辦公室,22.9095931,120.2707424,大潭社區關懷據點於西元2011年8月30日上午10點正式掛牌運作，每星期二、四上午進行健康促進、DIY手作、繪圖等課程活動及共餐服務。依據居民需求辦理許多的福利措施，如電話問安、關懷訪視、量血壓等關懷服務。為實踐大學社會責任，促進大學全方位投入在地社區連結及發展，長榮大學在2017年9月5日於大潭社區活動中心設「綠色大武崙社區推動辦公室」，並舉行揭牌儀式，宣示深耕在地的決心。,a3.jpg
大潭幸福香草莊園,大潭幸福香草莊園,22.9104135,120.2664463,創辦人翁春縫表示將此莊園打造成自然友善的環境，目前亦提供為青年聚會基地，創造社區幸福的園地。,a4.jpg
港尾溝溪疏洪道,港尾溝溪疏洪道,22.9109704,120.2644039,港尾溝溪發源於關廟區，行經歸仁區、仁德區，下游匯入二仁溪，全長3.8公里。港尾溝溪疏洪道是地方爭取、經濟部水利署第六河川局發包監造，總工程費約新台幣10億1000萬元，將港尾溝溪分洪到二仁溪，2014年7月27日完工。藉以改善仁德保安一帶淹水問題，號稱台南市第二條人工運河，由於地理景觀雄偉壯觀，結合未來二仁溪整體規劃發展，期盼成為熱門觀光遊憩景點。,a5.jpg
大潭國小,大潭國小,22.914133,120.271493,創校於民國32年4月1日，其主要學區為大潭里及武東里，該校注重閱讀及書法教育，校內文風鼎盛人才輩出，誠品化圖書館設施及書法情境教室為其特色。以健康、感恩及創新為願景，現任校長魏文南以學生為中心，在地行動，全球接軌為辦學理念，因此連結長榮大學國際生辦理各項英語活動。,a13.jpg
大潭國小樹屋,大潭國小樹屋,22.91349,120.271515,以在地的老樹為發想，在長榮大學美術系師生踏查走訪大潭地區後，覓得在大潭國小守護學子一甲子歲月的老龍眼樹，展開樹屋施作計畫。樹屋的完成，主要由美術系助理教授利庭芳帶領學生進行籌畫，大潭國小校長魏文南大力支持協助完成。從尋找老樹、單位拜訪、發想創作、規劃設計、實地造屋、地景命名等，歷時三個月。,a14.jpg
黃榮紀念公園,黃榮紀念公園,22.9133658,120.2712974,黃榮先生（民國前23年8月16日～民國39年2月18日）是地方公認樂善好施的大善人，曾任台糖車路墘糖廠經理及台南商工議員等多項要職，黃榮先生因不忍大潭及武東子弟需長途跋涉至大洲公學校（今依仁國小）求學，遂捐8分餘土地創立歸仁公學校大潭分教場（今大潭國小前身），其後代子弟整地供校方整併重建，嘉惠地方學子造福鄉里，後地方為緬懷德澤，興建公園以茲紀念。,a6.jpg
藤編文化,藤編文化,22.9150176,120.2706351,隱沒在大潭國小對面蜿蜒巷弄裡鮮為人知的藤編產業，是葉明西師傅畢生的心血。四十多年前，葉師傅開始創業，創業過程猶如見證台灣藤業的發展史。創業三階段:做代工為創業起源、自製自銷找商家買賣做生意及面臨產業外移的挑戰。藤業的沒落，葉師傅的工廠已不復當年榮景，目前僅止於個人手工製作家具，雖然製作出的藤編家具馬上銷售一空，但技術的傳承卻後繼無人。,a7.jpg
糖廠石轆,糖廠石轆,22.919057,120.271908,從清代，直到日治初期，「砂糖製造」是歸仁地區相當重要的產業，因此，大潭地區曾經種植大片面積的甘蔗。目前社區內有「甘蔗集散地」之遺址。社區內亦留有榨甘蔗汁所使用的石轆及多段鐵軌遺跡，是值得被紀錄及整修之文化。,a8.jpg
